Fecha,Inundacion
2019-04-01 15:00:00,1.0
2019-04-02 16:00:00,1.0
2019-04-02 17:00:00,1.0
2019-04-08 19:00:00,1.0
2019-04-09 21:00:00,1.0
2019-04-10 15:00:00,1.0
2019-04-10 16:00:00,1.0
2019-04-17 02:00:00,1.0
2019-04-17 04:00:00,1.0
2019-04-17 16:00:00,1.0
2019-04-19 18:00:00,1.0
2019-04-20 23:00:00,1.0
2019-04-21 00:00:00,1.0
2019-04-21 01:00:00,1.0
2019-04-23 17:00:00,1.0
2019-05-09 16:00:00,1.0
2019-05-10 17:00:00,1.0
2019-05-14 21:00:00,1.0
2019-05-16 16:00:00,1.0
2019-05-30 05:00:00,1.0
2019-05-31 00:00:00,1.0
2019-06-06 21:00:00,1.0
2019-06-07 17:00:00,1.0
2019-06-15 23:00:00,1.0
2019-06-30 17:00:00,1.0
2019-06-30 18:00:00,1.0
2019-07-14 04:00:00,1.0
2019-07-20 22:00:00,1.0
2019-07-25 17:00:00,1.0
2019-07-25 18:00:00,1.0
2019-08-03 19:00:00,1.0
2019-08-03 20:00:00,1.0
2019-09-19 03:00:00,1.0
2019-09-19 04:00:00,1.0
2019-09-19 05:00:00,1.0
2019-09-19 06:00:00,1.0
2019-09-28 02:00:00,1.0
2019-09-28 03:00:00,1.0
2019-10-01 01:00:00,1.0
2019-10-01 02:00:00,1.0
2019-10-01 03:00:00,1.0
2019-10-09 21:00:00,1.0
2019-10-12 20:00:00,1.0
2019-10-12 22:00:00,1.0
2019-10-13 05:00:00,1.0
2019-10-16 17:00:00,1.0
2019-10-18 23:00:00,1.0
2019-10-19 00:00:00,1.0
2019-10-31 03:00:00,1.0
2019-11-12 09:00:00,1.0
2019-11-13 14:00:00,1.0
2019-11-16 15:00:00,1.0
2019-12-30 05:00:00,1.0
2019-12-31 04:00:00,1.0
2019-12-31 05:00:00,1.0
2019-12-31 06:00:00,1.0
2019-12-31 07:00:00,1.0
2020-01-26 21:00:00,1.0
2020-02-20 19:00:00,1.0
2020-02-20 20:00:00,1.0
2020-03-07 06:00:00,1.0
2020-03-07 07:00:00,1.0
2020-03-10 07:00:00,1.0
2020-03-10 08:00:00,1.0
2020-03-13 01:00:00,1.0
2020-03-13 03:00:00,1.0
2020-03-13 04:00:00,1.0
2020-03-14 09:00:00,1.0
2020-03-14 10:00:00,1.0
2020-03-31 16:00:00,1.0
2020-04-03 01:00:00,1.0
2020-04-03 02:00:00,1.0
2020-04-12 06:00:00,1.0
2020-04-12 07:00:00,1.0
2020-04-12 17:00:00,1.0
2020-04-15 18:00:00,1.0
2020-04-17 21:00:00,1.0
2020-04-17 22:00:00,1.0
2020-04-28 09:00:00,1.0
2020-05-02 18:00:00,1.0
